top	sub
gr-qc/0502065	physics/0503042
hep-th/0412078	physics/0503042
nucl-th/0304013	nucl-th/0505052
hep-lat/0202006	nucl-th/0505052
hep-th/9712251	hep-th/9909088
1502.05653	1805.12191
0908.4272	1805.12191
1607.03663	1805.12191
hep-th/9805087	hep-th/0609038
hep-th/0502149	hep-th/0609038
hep-th/0310238	hep-th/0609038
hep-th/0506203	hep-th/0609038
hep-th/0502111	hep-th/0609038
1203.5283	1802.07267
1404.2291	1802.07267
1301.3296	1802.07267
1003.5694	1709.08653
1502.06872	1502.02666
astro-ph/9904398	1502.02666
1503.02490	1502.02666
1403.5679	1410.0960
1108.5231	1410.0960
1010.3041	1305.0308
1105.4319	1406.2664
1010.4798	1804.05604
0801.2061	1706.02667
hep-th/0308053	hep-th/0612298
hep-ph/0002238	1404.7139
hep-ph/0304132	hep-ex/0402009
hep-ph/0105003	hep-ex/0402009
hep-ph/0310139	hep-ex/0402009
1405.6046	1512.09367
nucl-th/0603066	nucl-th/0610054
hep-th/0011217	1311.5536
1207.5431	1311.5536
hep-th/0012025	1311.5536
1101.3307	1101.5183
astro-ph/0205436	1212.3608
1212.5226	1212.3608
0907.1660	1212.3608
0912.3816	1212.3608
astro-ph/9602019	1212.3608
hep-th/9811237	hep-th/0203265
hep-th/0003221	hep-th/0203265
hep-th/9808141	hep-th/0203265
hep-ph/0512190	0903.4371
0802.2879	0903.4371
0801.1645	0903.4371
quant-ph/0206186	1308.5884
hep-th/9805087	hep-th/0502111
hep-th/9810200	hep-th/0502111
hep-th/0208165	hep-th/0502111
1305.1630	1407.0031
hep-th/0107177	hep-th/0201271
hep-th/0011023	hep-th/0201271
0806.1046	1003.2416
0707.2516	1003.2416
0909.3224	1003.2416
0707.0876	1610.09713
hep-ph/0106110	hep-ph/0202037
hep-lat/0607020	1011.1964
hep-lat/0505012	1011.1964
hep-th/0611086	0901.2532
1103.0059	1104.1954
astro-ph/9606047	astro-ph/9612141
hep-th/9704137	0904.4248
0912.3529	1001.5029
1706.01369	1807.11872
1009.0746	1202.2352
hep-th/9808097	hep-th/9903269
gr-qc/0611127	1306.1853
hep-ph/0611144	1811.06276
1504.05162	1609.04305
1301.2938	1502.03684
nucl-ex/9909007	1308.6729
hep-th/9506126	0705.3484
0808.3232	0905.0688
0901.0599	0905.0688
1112.3515	1210.4492
1202.6251	1210.4492
1208.0738	1210.4492
1106.4068	1709.06174
math/0312175	1709.06174
hep-th/0610270	0708.3814
1212.5226	1804.01481
1802.09284	1804.01481
nucl-th/0304013	1806.01459
1512.04535	1603.07723
1302.3535	1401.1758
hep-ph/0103032	1401.1758
1011.0375	1401.1758
0908.3341	1401.1758
1109.2501	1401.1758
1602.00696	1811.06159
hep-ph/9710327	hep-ph/9901287
1004.1348	1311.3578
1201.5819	1311.3578
hep-th/9504090	1311.3578
hep-th/9504047	1311.3578
astro-ph/0702187	1110.3984
hep-th/9703063	hep-th/0207246
hep-th/0203202	hep-th/0207246
hep-th/9710243	hep-th/0207246
1105.2919	1609.04339
0712.3216	1509.06577
1001.4535	1003.4957
math/0107182	math/0303129
hep-ph/0601150	0805.4071
hep-ph/0007192	0805.4071
1703.07364	1704.03008
1508.01173	1704.03008
0911.1120	1704.03008
1310.0643	1704.03008
0809.1609	0902.2189
hep-ph/0303130	1001.3651
1204.4244	1207.6812
1606.03498	1801.07230
1505.00853	1801.07230
0707.0209	0711.1297
0907.2696	1007.0865
hep-ph/9911490	1007.0865
hep-th/9707115	gr-qc/0312086
1405.7469	1809.03670
1003.5694	1809.03670
1701.03171	1809.03670
1808.02797	1809.03670
1503.01684	1611.03393
1003.0056	1611.03393
1212.5226	1611.03393
1212.5226	1406.1718
1607.03663	1808.01365
hep-th/0503124	0708.2865
hep-th/0104073	0708.2865
hep-th/0611332	0708.2865
hep-th/0403203	0708.2865
hep-ph/9611325	0708.2865
hep-th/0103239	0708.2865
1008.2963	1406.7010
hep-th/0109174	1406.7010
hep-th/0603115	1406.7010
1804.00471	1901.03369
1208.6010	1210.7681
hep-th/0011217	hep-th/0012025
hep-th/0109174	hep-th/0603115
0808.2223	1307.3104
1207.1103	1307.3104
hep-th/9812251	1403.1226
math-ph/0402072	1403.1226
1311.2905	1403.1226
hep-th/0304217	hep-th/0606113
1504.06490	1707.08366
0910.4347	1707.08366
hep-th/9710014	hep-th/9910036
hep-th/9905067	hep-th/9910036
hep-th/9612229	hep-th/9910036
quant-ph/0509132	0910.0328
1411.1335	1604.03045
0707.0633	1604.03045
hep-th/0501191	hep-th/0605052
hep-th/0408048	hep-th/0605052
gr-qc/0005126	hep-th/0605052
gr-qc/0110034	hep-th/0605052
gr-qc/0306079	hep-th/0605052
astro-ph/0205436	astro-ph/0208394
astro-ph/0202357	astro-ph/0208394
hep-th/9908193	1608.00248
astro-ph/0205436	1701.04453
gr-qc/0005126	hep-th/0409231
1509.04044	1607.03663
0910.5533	1308.5223
1101.2925	1308.5223
astro-ph/9801015	astro-ph/0407623
hep-th/9712251	hep-th/9805087
hep-th/0607218	hep-th/0611303
hep-th/0306236	hep-th/0611303
hep-th/0611006	hep-th/0611303
hep-th/0305132	1312.7184
hep-th/0512200	0804.4450
0901.1441	0904.2976
0810.2594	0904.2976
math-ph/0301018	cond-mat/0412372
hep-th/9910131	gr-qc/0610061
1702.01755	1705.08799
1412.8379	1705.08799
0811.4743	1106.5077
1703.07786	1710.05045
1708.01530	1710.05045
1703.04887	1709.08624
1511.01454	1712.07531
0705.2853	1202.5851
1006.3882	1207.5213
1612.03050	1710.01881
hep-th/9610076	1801.01122
hep-th/9505100	1801.01122
hep-th/9608047	1801.01122
0803.3085	1801.04948
0907.2916	1801.04948
gr-qc/0011105	1801.04948
1312.7619	1801.04948
0802.2962	1003.5186
0806.4534	1003.5186
1502.05653	1508.01173
1404.5571	1508.01173
0807.3196	1003.6120
0807.3228	1003.6120
1310.7190	1406.3558
astro-ph/0205436	0711.1793
1006.0192	1601.01800
1202.2274	1601.01800
1012.3081	1601.01800
1203.2042	1307.0686
1405.7160	1606.07254
1301.1583	1403.8048
1211.5663	1403.8048
hep-ph/0308036	1403.8048
1210.7114	1403.8048
1205.6434	1403.8048
hep-th/0209114	0904.4311
0811.1555	1009.1141
hep-th/9705162	hep-th/0205254
hep-th/9706117	hep-th/0205254
hep-ph/0103125	1304.5215
1212.4888	1506.07486
1309.7570	1506.07486
0809.4264	1808.08239
hep-th/9812082	1808.08239
1611.08915	1808.08239
0704.2783	0806.0971
hep-th/0008075	hep-th/0111064
hep-th/9702006	hep-th/9710102
hep-th/9504090	hep-th/9710102
1205.2212	1811.05480
gr-qc/0601091	0911.0973
0707.0135	0911.0973
hep-th/9703007	hep-th/0405039
gr-qc/0005126	1412.5851
0905.0932	1412.5851
1210.4410	1805.03019
math/0503496	math/0608361
hep-th/0409133	1002.1899
hep-th/0608149	1002.1899
hep-ph/0508123	1703.00199
1211.3494	1509.05044
0709.2090	0809.2705
0709.2991	1002.1362
0711.4158	1601.06088
1109.3996	1601.06088
0706.1522	1511.01273
1501.04644	1511.01273
1206.5225	1608.04900
hep-lat/0607020	hep-lat/0607027
hep-lat/0508029	hep-lat/0607027
hep-th/0206017	hep-th/0302083
1011.5120	1804.01112
0710.4344	1804.01112
hep-th/9504090	hep-th/9606093
0709.4611	1506.08282
0803.0943	1506.08282
astro-ph/0205436	0709.0307
1801.06992	1807.04753
1410.0781	1506.02690
1212.5226	1303.4747
1012.4423	1105.1845
1611.01587	1705.00403
1203.3131	1206.5158
1112.5268	1206.5158
0809.5142	0811.4371
0706.3887	0811.4371
hep-th/0203265	hep-th/0404237
hep-th/0009148	hep-th/0404237
1111.3656	1304.7293
hep-th/0508020	1304.7293
1211.6394	1302.5747
1110.6443	1305.1313
hep-ph/0311349	1305.1313
0802.2879	1305.1313
1112.2703	1305.1313
1210.7114	1211.5663
1205.6434	1211.5663
hep-th/9703157	0704.3308
hep-ph/0304132	hep-ex/0308023
0805.2871	0903.4762
hep-ph/9605323	0712.3163
1303.3261	1404.2716
astro-ph/0510765	0709.2712
1011.5120	1611.05857
1106.2822	1611.05857
1502.05915	1611.05857
math/0205298	math/0210348
gr-qc/0103036	astro-ph/0512332
hep-th/0011217	1810.03026
hep-th/0012025	1810.03026
hep-th/0610235	1103.4126
0707.0842	1103.4126
0912.1857	1103.4126
hep-th/0610270	0704.3544
1003.0020	1109.6574
0907.5542	1004.0618
hep-th/9701037	1004.0618
0901.2467	1101.0450
hep-th/9903190	hep-th/0009198
1104.4958	1405.3864
hep-th/0205131	hep-th/0211113
hep-th/0107177	hep-th/0111044
hep-th/9706117	hep-th/0111044
hep-th/0011023	hep-th/0111044
astro-ph/0205436	hep-th/0608127
hep-th/0501025	hep-th/0608127
hep-th/0110039	hep-th/0307048
hep-th/0103148	hep-th/0307048
1712.09693	1810.11117
1612.04402	1803.05258
1305.1649	1404.0454
0811.4174	1710.03776
1502.01942	1503.05634
1006.0015	1503.05634
1105.3972	1503.05634
hep-th/0501025	astro-ph/0507350
hep-th/0505215	astro-ph/0507350
quant-ph/9603004	quant-ph/9902036
hep-ph/9907412	hep-ph/9908423
1212.5226	1502.05653
0910.5536	1105.0939
hep-th/9912130	hep-th/0411277
hep-th/9404192	hep-th/0411277
hep-th/0104090	hep-th/0411277
1211.3663	1304.0455
gr-qc/0610147	0708.2962
hep-th/0110103	hep-th/0312161
math-ph/0501017	0704.1145
hep-th/0102046	hep-th/0103239
hep-th/0104073	hep-th/0103239
hep-th/9504090	hep-th/0403001
astro-ph/9312039	hep-th/0403001
hep-th/0003188	math/0601558
hep-th/0403118	math/0601558
hep-ph/9808202	1301.3075
1210.0438	1510.01517
hep-th/0208165	hep-th/0601062
1702.05103	1707.09929
1210.2423	1705.10483
hep-th/0006236	hep-th/0008132
hep-th/9903077	hep-th/0008132
hep-ph/0610385	1105.3434
hep-ph/9811428	hep-ph/9903224
hep-lat/0607017	0711.0262
1111.1577	1202.1278
0803.2360	0906.5048
hep-ph/9908482	1207.6794
nucl-th/0505052	hep-ph/0606147
hep-ph/0509306	hep-ph/0606147
hep-th/0203265	1308.5364
1107.5788	1709.00070
1210.2423	1604.06108
1203.5381	1307.0808
1202.1780	1301.4214
hep-th/0106041	1408.6416
astro-ph/0205436	1603.07115
1406.0407	1603.07115
hep-th/0611148	1101.1619
0708.2865	1101.1619
astro-ph/0205436	0804.1789
0704.2783	0804.1789
0708.1517	0804.1789
astro-ph/0001493	0804.1789
astro-ph/0005085	0804.1789
hep-th/0206033	hep-th/0207124
hep-th/9403191	hep-th/0207124
hep-th/0004076	hep-th/0101071
hep-ph/9906209	hep-ph/0511273
hep-ph/0502087	hep-ph/0511273
0911.0996	1405.7381
hep-th/0107100	hep-th/0210034
hep-ph/9412322	hep-ph/0104051
1209.4376	1707.05341
0707.1863	1707.05341
1003.0395	1707.05341
1206.5315	1707.05341
gr-qc/0110034	1707.05341
0801.3456	1103.3504
1404.7302	1712.04558
0909.4064	1603.05663
hep-th/0507172	1809.07871
1104.4387	1809.07871
astro-ph/0508612	astro-ph/0602101
1412.8379	1412.0869
hep-ph/0309227	hep-ph/0310139
hep-th/0107177	1001.1112
1005.3035	1206.1323
hep-th/9803251	1204.0518
0905.4363	1403.7804
hep-th/0312001	hep-th/0505208
hep-th/9708147	hep-th/0505208
0902.1681	1512.01296
0911.2224	1512.01296
cond-mat/0011172	cond-mat/0101004
hep-th/0305132	math/0405061
hep-lat/0602024	0810.0899
1005.3035	1808.09072
0905.0932	1808.09072
0806.3607	0902.0983
1310.6335	1807.05399
gr-qc/0104008	gr-qc/0606042
hep-ph/0108003	hep-th/0112046
hep-ph/0103125	hep-th/0112046
hep-ph/0108170	hep-th/0112046
0903.2834	1006.5480
1711.05344	1807.02556
1005.1485	1812.10964
1502.03603	1812.10964
1312.6026	1708.05211
1403.6963	1412.7511
1112.5296	1506.05277
hep-lat/0607020	1003.2182
hep-th/0307138	0712.2142
0904.4713	1004.0078
0803.0720	1004.0078
0912.0316	1004.0078
1102.4461	1211.2272
hep-th/9504047	hep-th/9610237
nucl-th/0208072	1105.6025
hep-ph/9609344	1001.4535
0801.1520	1001.4535
hep-ph/9706554	1001.4535
hep-th/0607218	1001.4535
0705.3686	1001.4535
1608.00717	1801.00818
1803.04897	1809.09956
1511.03964	1705.00876
gr-qc/0103018	0910.5533
hep-th/9702202	1003.2864
hep-ph/0312267	astro-ph/0407532
hep-th/0203265	hep-th/0311179
hep-th/0308068	hep-th/0311179
hep-ph/0007192	hep-ph/0210139
gr-qc/0306116	hep-th/0603014
hep-ph/0108003	hep-ph/0108170
hep-ph/0103125	hep-ph/0108170
1209.4376	1205.5046
1009.1136	1205.5046
astro-ph/0405606	1105.0207
hep-th/9606139	1105.0207
hep-th/9706110	1105.0207
0802.0711	1105.0207
1203.5283	1311.3435
1108.5231	1311.3435
quant-ph/0105121	quant-ph/0310097
1311.2338	1803.08853
0709.3885	1309.3093
hep-ph/0701234	1309.3093
gr-qc/9904062	hep-th/0409057
hep-th/0202187	hep-th/0208165
hep-th/0207214	hep-th/0208165
1004.2706	1310.7603
1506.06064	1508.05940
1408.3835	1508.05940
0811.2957	0812.0230
astro-ph/0701584	astro-ph/0701510
hep-th/0111129	hep-th/0201060
hep-th/0105184	hep-th/0201060
hep-th/0110204	hep-th/0201060
gr-qc/0401078	gr-qc/0402092
gr-qc/0012049	gr-qc/0402092
0906.5048	1509.05391
hep-th/9610148	hep-th/0309231
hep-th/9708147	hep-th/0309231
hep-th/9910036	1106.3210
1112.6297	1203.5416
1211.3494	1705.01728
hep-th/9506126	1810.05349
1612.06983	1810.05349
0807.1003	1105.5140
0810.0433	1105.5140
1202.5851	1703.03114
1608.08969	1703.03114
1608.07256	1703.03114
math/0310067	1104.4792
hep-lat/9612006	hep-ph/0506318
1404.7141	1703.05717
astro-ph/0504422	hep-ph/0612035
hep-ph/0407352	hep-ph/0612035
hep-ph/0504229	nucl-th/0506021
hep-th/9708147	0910.5536
astro-ph/9808276	astro-ph/9906014
1110.3949	1509.02831
1012.3293	1509.02831
1108.3071	1705.02526
1112.6297	1210.0438
hep-ph/9605323	1210.0438
1703.05808	1811.07486
0706.1522	1811.07486
hep-th/9507155	hep-th/9609139
hep-ph/0204286	hep-ph/0405048
hep-th/0501191	1704.06663
1702.01497	1704.06663
1004.0464	1704.06663
1208.1030	1704.06663
hep-ph/9811428	1704.06663
math-ph/0204051	hep-th/0205215
1610.09910	1812.07914
hep-ex/0302026	hep-ph/0509090
hep-th/0603115	1008.2963
astro-ph/0205436	1303.4317
1212.5226	1303.4317
1104.1122	1205.3842
1111.5488	1205.3842
astro-ph/0205436	astro-ph/0212281
1003.3376	1210.4514
1006.4774	1210.4514
hep-th/0211111	1603.05195
hep-ph/0509036	nucl-ex/0608046
1305.0011	1309.5569
hep-th/0011091	0711.1045
hep-th/0403193	0711.1045
1612.09587	1808.00943
1611.01514	1808.00943
1301.2846	1404.7450
1406.7870	1602.04353
hep-th/0408197	hep-th/0602151
0712.3694	1001.3699
1403.5280	1406.4948
hep-th/0505215	1511.04559
hep-th/0501025	1511.04559
1711.08484	1901.00890
1110.6249	1411.5330
1506.06604	1612.04685
1208.0256	1612.04685
1611.08915	1802.05500
0802.2962	1304.1483
1301.7225	1304.1483
hep-th/0607218	1210.3028
astro-ph/0302031	astro-ph/0304451
1202.5034	1210.5434
hep-th/9804058	1605.00857
hep-th/0402046	1406.6300
hep-th/9701037	hep-th/0104048
0802.0891	0804.4501
hep-th/0609203	0804.4501
hep-th/0410155	1508.05006
1004.1348	1508.05006
1404.0602	1503.08245
gr-qc/0605013	1602.04738
0808.2223	1102.5244
hep-th/0006224	hep-th/0110288
1102.4637	1203.4677
1410.6310	1611.08599
hep-th/0011109	hep-th/0201173
gr-qc/0303039	hep-th/0605078
hep-th/9908153	hep-th/0005081
hep-th/9804058	hep-th/0005081
1511.02867	1807.02133
gr-qc/0103036	1807.02133
1708.02711	1803.07724
1512.01405	1603.03665
hep-th/0310261	1706.05232
0801.0200	0911.2123
0902.4654	0911.2123
hep-th/0607002	0911.2123
hep-th/9703157	hep-th/0201072
hep-th/9808141	hep-th/0201072
0706.2332	0710.2834
hep-lat/0508029	1108.3035
1108.5231	1502.06872
1311.3828	1502.06872
astro-ph/0701856	1309.4077
1306.2274	1309.4077
1303.0300	1309.4077
1301.1703	1309.4077
gr-qc/0605013	1606.00838
hep-th/9806016	1111.6339
1103.0689	1603.08052
1504.05162	1603.08052
1502.05915	1603.08052
1308.2209	1603.08052
1609.06903	1702.05103
0804.1554	0712.3400
1508.04770	1606.07078
1101.5792	1105.1340
gr-qc/0110034	1105.1340
0905.0932	1405.3511
1304.7100	1405.3511
1402.7358	1511.05964
1112.2390	1302.1103
astro-ph/0502577	astro-ph/0511787
1212.5226	1710.01755
1606.06367	1710.01755
hep-th/0012226	hep-ph/0207275
1508.04089	1710.00812
0901.3746	1408.1218
hep-ph/9911294	1110.6058
0712.2355	1110.6058
1512.04442	1701.08672
1412.2306	1504.06063
1502.01852	1504.06063
1608.04242	1701.00062
1410.2242	1602.07303
1302.6589	1602.07303
1111.2613	1602.07303
hep-ph/0306158	0807.2872
0705.3103	0807.2872
hep-ph/0211023	0807.2872
hep-lat/0609050	1602.06086
nucl-th/0304013	hep-ph/0501234
hep-ph/0103032	hep-ph/0501234
1601.07074	1605.03029
quant-ph/0205064	quant-ph/0211136
nucl-th/0304013	0801.0918
1003.1138	1107.0155
0708.1322	1107.0155
0908.3341	1107.0155
0710.0863	1107.0155
1103.5389	1107.0155
1002.1088	1107.0155
hep-th/9803251	1107.0155
hep-th/0109174	1107.0155
hep-ph/9803250	1412.7421
hep-ph/9605323	1412.7421
hep-ph/0103125	0911.1120
1412.6963	1707.03565
hep-th/9604179	hep-th/9612236
hep-ph/0405048	hep-ph/0605139
hep-ph/0204097	hep-ph/0605139
hep-th/9708147	hep-th/0303072
hep-th/9610148	hep-th/0303072
hep-th/9904041	hep-th/0303072
1202.5851	1307.0615
astro-ph/0205436	1307.0615
1303.0143	1307.0615
hep-th/0209114	hep-th/0503219
hep-th/0005049	hep-th/0503219
hep-th/9812082	hep-th/0503219
0901.4826	1603.03041
gr-qc/0701087	1104.4574
0905.2573	1104.4574
1506.06415	1811.11452
1409.6314	1712.01739
hep-th/9705162	1712.01739
1201.5819	1712.01739
hep-th/9706117	1712.01739
hep-th/0006240	hep-th/0105184
hep-th/0403236	astro-ph/0502249
1104.3932	1201.6075
gr-qc/0103018	1707.09309
1706.01980	1707.09309
1411.5182	1701.05839
1005.4469	1809.10294
hep-th/0209114	1601.01898
0707.1863	1102.4637
quant-ph/0311001	0708.1879
nucl-ex/0605021	0707.4608
1306.6530	1509.05292
hep-lat/9912044	0910.2781
hep-th/9604179	hep-th/9902045
hep-th/9803119	hep-th/9902045
hep-th/9803103	hep-th/9902045
hep-th/9803193	hep-th/9902045
0907.1660	1106.4543
0706.2399	1106.4543
0709.0296	1106.4543
0905.0932	1602.01147
0903.5296	1008.3392
0912.3816	1008.3392
gr-qc/0103036	hep-th/0611039
hep-th/9504090	hep-th/0611039
hep-th/0403203	hep-th/0611039
hep-ph/9810535	hep-th/0611039
hep-th/9906167	hep-th/9912122
hep-th/9910255	hep-th/9912122
1307.2721	1309.0368
0711.4620	0811.3969
hep-ph/0505211	1112.4284
0807.3324	1112.1967
0907.5542	1112.1967
1308.6729	1704.00274
hep-th/0012082	0910.5245
1403.0642	1705.07764
1712.00037	1712.01244
1711.11012	1712.01244
math/0208125	1003.3376
hep-th/0307042	1806.06509
1008.2958	1806.06509
astro-ph/9904398	hep-th/0012253
hep-th/0209114	hep-th/0510180
hep-th/0011217	hep-th/0510180
hep-th/0012025	hep-th/0510180
1204.6245	1210.7929
1607.03892	1808.04826
1804.01095	1808.04826
1103.5389	1812.00642
0708.1322	1812.00642
1604.08296	1812.00642
hep-ph/9906209	hep-ph/0210375
1307.0615	1512.07828
hep-ph/0011335	1005.1277
1708.04669	1805.03300
0905.3270	1302.1208
hep-ph/0701234	1603.06793
1605.02111	1610.06919
1607.01769	1610.06919
hep-ph/9605323	1605.06142
1211.6899	1605.06142
hep-th/9910092	hep-th/0201178
hep-th/0006236	hep-th/0201178
hep-th/0402046	hep-th/0612071
hep-ph/0612081	1002.4310
gr-qc/0110038	1109.4839
1502.01024	1503.06012
hep-ph/0308192	hep-ph/0402296
0906.0591	1010.5509
hep-ph/0006340	hep-ph/0007178
hep-ph/9811428	hep-ph/0007178
hep-ph/0002212	hep-ph/0007178
1310.0643	1405.4914
1309.4780	1405.4914
1403.5280	1501.01298
astro-ph/0205436	1503.02490
1410.0960	1503.02490
1304.7240	1503.02490
hep-th/0104073	1503.02490
1108.5231	1503.02490
hep-ph/9906209	hep-ph/0512163
hep-ph/0311349	hep-ph/0512163
1204.5977	1207.5102
1112.2703	1207.5102
1207.0802	1207.5102
1202.5190	1207.5102
hep-th/9511047	0704.3407
hep-th/9910133	0704.3407
hep-th/0701064	0906.4109
nucl-th/0307039	hep-ph/0505233
0708.2362	1004.0586
0909.3061	1312.0578
0708.1994	1312.0578
0712.3984	0808.1043
1611.04051	1811.06564
astro-ph/9509019	astro-ph/9601168
1102.0691	1103.0689
hep-th/0106019	hep-th/0205255
1711.00047	1804.08792
hep-th/9504090	1804.08792
hep-th/0403001	1804.08792
math-ph/0608042	hep-th/0612211
hep-th/0605065	hep-th/0612211
gr-qc/0110034	gr-qc/0405060
1511.08295	1603.02852
hep-lat/0602024	hep-lat/0602026
1109.3706	1402.0109
hep-th/0609109	1402.0109
hep-th/9812082	1402.0109
1208.4018	1711.04370
1607.03663	1711.04370
1309.4780	1310.3026
1302.6589	1310.3026
1303.0143	1310.3026
1212.5226	1310.3026
0803.4474	1611.09398
1506.04142	1511.04513
1205.0788	1511.04513
0812.0367	0911.4284
0708.2865	0911.4284
astro-ph/0702187	0911.4284
hep-th/0403001	0911.4284
hep-th/0611086	1812.09080
1003.1732	1812.09080
1707.09900	1812.09080
1003.2403	1812.09080
1611.03493	1812.09080
1604.02915	1812.09080
1105.0939	1108.3084
0808.2503	1108.3084
hep-ph/0108117	hep-ph/0202082
hep-ph/0106155	hep-ph/0202082
0708.0476	1007.0194
1007.0213	1007.0194
1701.03171	1808.02797
1405.6046	1808.02797
quant-ph/0009027	quant-ph/0302092
1711.09749	1712.07137
1408.2823	1712.07137
1803.00549	1810.03936
0810.5336	1810.03936
1410.8866	1810.03936
0707.0135	0707.0876
gr-qc/0701143	0707.0876
hep-th/0408114	hep-th/0410007
hep-th/0203265	hep-th/0410007
astro-ph/0402265	0805.1117
hep-th/0203265	0805.1117
astro-ph/9904398	0805.1117
gr-qc/0503022	0708.1001
hep-th/9812082	0708.1001
1101.6056	1106.3289
1307.1425	1401.1953
hep-ph/0308036	0801.1645
0707.0633	0801.1645
1106.2822	1603.02184
1110.6249	1603.02184
hep-ph/0202269	1603.02184
1103.5504	1506.06415
1412.6302	1506.06415
1211.1320	1506.06415
0704.3121	0901.1441
astro-ph/0701353	0901.1441
0810.2594	0901.1441
hep-th/0103239	hep-th/0105199
hep-th/0104073	hep-th/0105199
hep-th/0505153	0810.5666
1706.03305	1812.10821
hep-th/0403193	1807.00723
1107.2542	1201.3608
hep-ph/0405048	1102.1869
gr-qc/0307052	hep-th/0612217
quant-ph/0101132	quant-ph/0506243
hep-ph/0703287	1001.2576
0706.1522	1007.2590
0911.3480	1007.2590
hep-lat/0607017	1007.2590
0811.1058	1007.2590
hep-th/0311155	hep-th/0410099
1507.03031	1606.09177
hep-th/0605052	1106.2737
0808.1803	0907.3119
0905.2851	0907.3119
hep-lat/0402010	0905.0645
hep-ph/0201080	1408.4722
hep-ph/0312027	1408.4722
astro-ph/0205436	0908.3186
0907.1660	0908.3186
astro-ph/9901097	0908.3186
0804.1789	0908.3186
nucl-th/0208072	1403.7538
1212.5226	1306.3217
1107.5337	1111.1232
hep-th/9706110	1111.1232
1408.1105	1411.7850
1008.5023	1411.7850
1512.06696	1603.09505
astro-ph/0006077	1208.4276
astro-ph/0502425	1604.08578
1207.5678	1604.08578
1306.6233	1609.06224
1008.5023	1609.06224
1201.5305	1207.3126
hep-th/0307042	hep-th/0609044
1701.01821	1711.03270
0904.2154	0809.2822
math/0007090	hep-th/0212098
hep-th/9807160	hep-th/0106069
1302.3320	1411.1827
hep-ph/0307266	hep-ph/0411359
hep-ph/0103125	1208.5906
0706.1224	1310.2424
0901.4310	1602.03832
1512.03764	1602.03832
1205.2575	1602.03832
hep-th/9610236	hep-th/9704087
hep-th/9606139	hep-th/9704087
1708.06763	1709.05795
1606.00846	1709.05795
1507.06387	1511.06347
hep-th/0504200	0811.0814
hep-th/0304064	0707.2315
hep-ph/0404165	hep-ph/0407072
1802.10130	1808.02184
1210.8081	1509.00632
hep-ph/0011335	1112.0954
1005.2978	1112.0954
1412.2730	1512.06182
1112.3215	1806.07647
1312.0610	1806.07647
0709.1107	0801.3808
0710.4344	0801.3808
hep-th/0502149	hep-th/0506203
1211.3494	1301.4316
1206.1323	1301.4316
astro-ph/9904398	0812.1311
0902.0306	1102.2841
1002.4353	1207.3820
0807.0682	1207.3820
hep-th/0009148	hep-th/0204084
hep-th/0203265	hep-th/0204084
hep-th/0003221	hep-th/0204084
0803.0896	0902.3033
0808.0260	0902.3033
1306.6233	1402.2837
1304.2600	1407.0916
1510.00294	1802.03244
hep-ph/9705399	hep-ph/9710327
1002.1721	1312.5695
1011.1964	1312.5695
1311.5886	1312.5695
hep-th/0312075	math/0405177
astro-ph/0205436	astro-ph/0502425
1406.0534	1410.6897
hep-ph/0310121	1005.2482
0908.3341	1005.2482
0803.3831	1002.3323
hep-lat/9612006	hep-ph/0010347
1009.1888	1510.04807
1512.04402	1510.04807
1805.12191	1901.08144
1111.2854	1901.08144
1703.10704	1705.01215
hep-ph/0511006	1106.4658
1412.5365	1608.02696
1412.2730	1608.02696
0706.4269	0806.4534
hep-lat/0611013	0812.3307
1203.0173	1602.01677
0808.2046	1503.03485
hep-ph/0701182	1503.03485
nlin/0610017	0803.4222
0902.2489	1508.01150
hep-ph/9810535	hep-ph/0611144
hep-ph/9811428	hep-ph/0611144
gr-qc/0011105	hep-th/0407262
0905.3500	1604.08838
quant-ph/0203003	0906.3355
1212.5226	1407.1632
0907.1660	1407.1632
0908.3186	1407.1632
1011.1910	1011.1915
hep-th/9910181	1509.00890
1003.5694	1509.00890
1208.6244	1509.00890
hep-th/0502149	hep-th/0605120
1704.04022	1810.00151
1702.08266	1810.00151
hep-th/0410155	hep-th/0505074
0906.4257	1212.2175
1205.0752	1212.2175
1111.2327	1212.2175
hep-ph/0007192	1704.03662
1101.4239	1208.4262
1107.1412	1810.01913
0803.2360	0808.2462
hep-ph/0611353	0808.2462
1304.2600	1409.4619
0802.2255	1409.4619
hep-th/0212184	hep-th/0312224
1205.5046	1209.4376
1103.5909	1805.00831
0711.1870	1805.00831
hep-th/0207096	1805.00831
1003.5694	1805.00831
1108.4027	1112.5268
1310.3832	1606.07340
0807.3324	1606.07340
0907.1846	1606.07340
1403.4427	1711.04046
hep-ph/0410259	1806.02883
0808.2503	1707.08108
nucl-th/0505052	1708.04897
0909.0988	1307.4522
hep-th/0407101	hep-th/0604143
0908.0395	1211.4317
1708.04897	1711.02797
astro-ph/0205436	0903.2532
astro-ph/0701584	0903.2532
astro-ph/0701510	0903.2532
hep-ph/9707419	hep-ph/0606230
hep-ph/9703299	hep-ph/9704336
1502.01852	1703.04044
0905.1136	0907.1846
0905.0688	0907.1846
hep-th/0211006	1204.3311
0704.2783	0708.1517
1107.4319	1502.01011
0911.1120	1502.01011
1104.1122	1111.5488
hep-ph/0401032	hep-ph/0407116
hep-th/0112046	hep-ph/0407116
hep-ph/0112037	0704.2570
